Date,Open,High,Low,Close
Tue Aug 23 2022 00:00:00 GMT+0530 (India Standard Time),674.5,678.8,670.25,671.1
Wed Aug 24 2022 00:00:00 GMT+0530 (India Standard Time),673.1,683,672,676.25
Thu Aug 25 2022 00:00:00 GMT+0530 (India Standard Time),678.5,682.8,677.05,677.85
Fri Aug 26 2022 00:00:00 GMT+0530 (India Standard Time),680.9,682.4,678.05,678.85
Mon Aug 29 2022 00:00:00 GMT+0530 (India Standard Time),670,674.95,667.2,670.15
Tue Aug 30 2022 00:00:00 GMT+0530 (India Standard Time),673.5,676.95,672.2,673.5
Thu Sep 01 2022 00:00:00 GMT+0530 (India Standard Time),673,676.85,668.05,668.7
Fri Sep 02 2022 00:00:00 GMT+0530 (India Standard Time),671,672.9,664,664.65
Mon Sep 05 2022 00:00:00 GMT+0530 (India Standard Time),666,669.15,659.15,659.8
Tue Sep 06 2022 00:00:00 GMT+0530 (India Standard Time),662,663.85,651,652.8
Wed Sep 07 2022 00:00:00 GMT+0530 (India Standard Time),652.8,655.4,651,653.15
Thu Sep 08 2022 00:00:00 GMT+0530 (India Standard Time),656,659,652.3,653.85
Fri Sep 09 2022 00:00:00 GMT+0530 (India Standard Time),657.8,659,652.65,653.3
Mon Sep 12 2022 00:00:00 GMT+0530 (India Standard Time),655,656.75,651.6,652.2
Tue Sep 13 2022 00:00:00 GMT+0530 (India Standard Time),655,673.4,653.5,670.25
Wed Sep 14 2022 00:00:00 GMT+0530 (India Standard Time),664.7,678,662.2,663.45
Thu Sep 15 2022 00:00:00 GMT+0530 (India Standard Time),665,676.6,660.15,672.6
Fri Sep 16 2022 00:00:00 GMT+0530 (India Standard Time),670.9,671.7,653.35,654.8
Mon Sep 19 2022 00:00:00 GMT+0530 (India Standard Time),658.3,663.55,654,654.75
Tue Sep 20 2022 00:00:00 GMT+0530 (India Standard Time),657.55,665.05,655.55,656.35
Wed Sep 21 2022 00:00:00 GMT+0530 (India Standard Time),656.4,659.9,651.8,652.45
Thu Sep 22 2022 00:00:00 GMT+0530 (India Standard Time),653,659,648,649.75
Fri Sep 23 2022 00:00:00 GMT+0530 (India Standard Time),651.6,652.95,642,642.8
Mon Sep 26 2022 00:00:00 GMT+0530 (India Standard Time),640,641,629.1,630.55
Tue Sep 27 2022 00:00:00 GMT+0530 (India Standard Time),632,637.6,628,628.8
Wed Sep 28 2022 00:00:00 GMT+0530 (India Standard Time),627.75,627.75,620.25,621.45
Thu Sep 29 2022 00:00:00 GMT+0530 (India Standard Time),623.9,626.9,618,619.55
Fri Sep 30 2022 00:00:00 GMT+0530 (India Standard Time),620.25,626.4,617,621.65
Mon Oct 03 2022 00:00:00 GMT+0530 (India Standard Time),622,625,619.25,620.6
Tue Oct 04 2022 00:00:00 GMT+0530 (India Standard Time),624,631.8,624,629.3
